gizmotronics	gizmotronics+N;SG
hexalumino	hexalumino+N;SG
sakpata	sakpata+N;SG
alouates	alouate+N;PL
coveys	covey+N;PL
overlap	overlap+N;SG
humefy	humefy+V;NFIN;IMP+SBJV
virtuousness	virtuousness+N;SG
mexicanity	mexicanity+N;SG
jacanid	jacanid+N;SG
corruscating	corruscate+V;V.PTCP;PRS
nonparaffin	nonparaffin+N;SG
balaphones	balaphone+N;PL
joggle	joggle+V;NFIN;IMP+SBJV
macumba	macumba+N;SG
gifters	gifter+N;PL
engreen	engreen+V;NFIN;IMP+SBJV
entelegyne	entelegyne+N;SG
jotun	jotun+N;SG
remunerated	remunerate+V;V.PTCP;PST
autocyst	autocyst+N;SG
duality	duality+N;SG
heliochromotype	heliochromotype+N;SG
toothcombing	toothcomb+V;V.PTCP;PRS
collapsibility	collapsibility+N;SG
trachinid	trachinid+N;SG
cross-reactivity	cross-reactivity+N;SG
counteraccusation	counteraccusation+N;SG
excised	excise+V;V.PTCP;PST
simcom	simcom+N;SG
pipemakers	pipemaker+N;PL
foilage	foilage+N;SG
phenylindoles	phenylindole+N;PL
thoracodorsalis	thoracodorsalis+N;SG
ablactated	ablactate+V;PST
aosd	aosd+N;SG
incapsulation	incapsulation+N;SG
triodias	triodia+N;PL
bedwear	bedwear+N;SG
spritzes	spritz+N;PL
galabea	galabea+N;SG
putzes	putz+N;PL
æsthetic	æsthetic+ADJ
downpressed	downpress+V;V.PTCP;PST
hn	hn+N;SG
benthophils	benthophil+N;PL
leucocyturia	leucocyturia+N;SG
processome	processome+N;SG
decaffeinating	decaffeinate+V;V.PTCP;PRS
redolence	redolence+N;SG
poised	poised+ADJ
benzoylpseudotropine	benzoylpseudotropine+N;SG
eucatastrophe	eucatastrophe+N;SG
robemaker	robemaker+N;SG
duftite	duftite+N;SG
nounless	nounless+ADJ
septets	septet+N;PL
bemars	bemar+V;PRS;3;SG
semiflints	semiflint+N;PL
monopolylogue	monopolylogue+N;SG
sulphurworts	sulphurwort+N;PL
underexaggerated	underexaggerate+V;V.PTCP;PST
sportsplex	sportsplex+N;SG
mrsa	mrsa+N;SG
diastereospecificity	diastereospecificity+N;SG
chlorophenylacetates	chlorophenylacetate+N;PL
eurotiomycetes	eurotiomycete+N;PL
arabinobiose	arabinobiose+N;SG
sharp-eyed	sharp-eyed+ADJ
despiker	despiker+N;SG
kelt	kelt+N;SG
alcedinids	alcedinid+N;PL
close-mindedness	close-mindedness+N;SG
unremineralized	unremineralized+ADJ
panelized	panelize+V;V.PTCP;PST
enoplometopid	enoplometopid+N;SG
jacker	jacker+N;SG
brutalise	brutalise+V;NFIN;IMP+SBJV
goony	goony+ADJ
outsegregated	outsegregate+V;V.PTCP;PST
furrowed	furrow+V;PST
miskeyings	miskeying+N;PL
anatomiser	anatomiser+N;SG
productivize	productivize+V;NFIN;IMP+SBJV
cows	cow+N;PL
decuroside	decuroside+N;SG
lunatizes	lunatize+V;PRS;3;SG
taxless	taxless+ADJ
neurorecovery	neurorecovery+N;SG
eastly	eastly+ADJ
witchier	witchy+ADJ;CMPR
ordre	ordre+V;NFIN;IMP+SBJV
resporulated	resporulate+V;V.PTCP;PST
homologen	homologen+N;SG
urethroplasty	urethroplasty+N;SG
engenderings	engendering+N;PL
argilliferous	argilliferous+ADJ
passimeters	passimeter+N;PL
declogging	declogging+ADJ
tups	tup+N;PL
amomums	amomum+N;PL
moronocracy	moronocracy+N;SG
byronic	byronic+ADJ
tocodynamometry	tocodynamometry+N;SG
beeotch	beeotch+N;SG
chocolatized	chocolatize+V;V.PTCP;PST
redoxcline	redoxcline+N;SG
calciturbidites	calciturbidite+N;PL
synecphonesis	synecphonesis+N;SG
boastive	boastive+ADJ
symlink	symlink+V;NFIN;IMP+SBJV
pulsing	pulsing+N;SG
offenceful	offenceful+ADJ
seisonid	seisonid+N;SG
istikhaarah	istikhaarah+N;SG
subgraywacke	subgraywacke+N;SG
augurist	augurist+N;SG
jazzercize	jazzercize+N;SG
neckbanding	neckband+V;V.PTCP;PRS
isocrymals	isocrymal+N;PL
predicamental	predicamental+ADJ
syntax	syntax+N;SG
calamitous	calamitous+ADJ
germanones	germanone+N;PL
vitaminised	vitaminise+V;V.PTCP;PST
urinocentesis	urinocentesis+N;SG
geis	gei+N;PL
methoxydimethyltryptamine	methoxydimethyltryptamine+N;SG
mono	mono+N;SG
estrone	estrone+N;SG
foredraft	foredraft+N;SG
splotches	splotch+V;PRS;3;SG
lymphaticovenous	lymphaticovenous+ADJ
daybed	daybed+N;SG
pro-jew	pro-jew+N;SG
mulvils	mulvil+N;PL
cinchonidine	cinchonidine+N;SG
polymorphocytes	polymorphocyte+N;PL
material	material+N;SG
spillback	spillback+N;SG
coelia	coelia+N;SG
mucinous	mucinous+ADJ
menopause	menopause+N;SG
droopage	droopage+N;SG
airplane	airplane+N;SG
aquatints	aquatint+N;PL
psychopharmacologists	psychopharmacologist+N;PL
busk	busk+N;SG
yokukansan	yokukansan+N;SG
saddlebow	saddlebow+N;SG
submultiples	submultiple+N;PL
accustomizes	accustomize+V;PRS;3;SG
all-father	all-father+N;SG
tank-worm	tank-worm+N;SG
tennesi	tennesi+N;SG
tussive	tussive+ADJ
designated	designated+ADJ
ferrosulphides	ferrosulphide+N;PL
subsearches	subsearch+N;PL
rasp	rasp+N;SG
chiffonaded	chiffonade+V;PST
judahite	judahite+N;SG
aizoaceous	aizoaceous+ADJ
nanotip	nanotip+N;SG
echinidan	echinidan+N;SG
shitfuckers	shitfucker+N;PL
undarkened	undarkened+ADJ
hamartomatosis	hamartomatosis+N;SG
artiads	artiad+N;PL
h-beam	h-beam+N;SG
brannier	branny+ADJ;CMPR
immunocastration	immunocastration+N;SG
wordlines	wordline+N;PL
disesteemer	disesteemer+N;SG
roks	roks+N;SG
ordoliberalism	ordoliberalism+N;SG
xiiith	xiiith+ADJ
papillomacular	papillomacular+ADJ
crangonyctids	crangonyctid+N;PL
ctenochasmatid	ctenochasmatid+N;SG
forspan	forspan+V;NFIN;IMP+SBJV
linkspan	linkspan+N;SG
slurry	slurry+N;SG
desi	desi+ADJ
boozefest	boozefest+N;SG
calgarian	calgarian+ADJ
knackered	knackered+ADJ
confessionalised	confessionalise+V;PST
liberalising	liberalise+V;V.PTCP;PRS
mangled	mangle+V;V.PTCP;PST
deinnervated	deinnervate+V;V.PTCP;PST
cinnamyl	cinnamyl+N;SG
pelobiont	pelobiont+N;SG
transcurred	transcur+V;PST
jalapinolates	jalapinolate+N;PL
mongolic	mongolic+ADJ
minikini	minikini+N;SG
prevaricated	prevaricate+V;PST
corps	corp+N;PL
sacrectomy	sacrectomy+N;SG
plumed	plumed+ADJ
invertasome	invertasome+N;SG
sambuke	sambuke+N;SG
reinforcible	reinforcible+ADJ
ciid	ciid+N;SG
breadthlessness	breadthlessness+N;SG
immunobiomarkers	immunobiomarker+N;PL
gliclazide	gliclazide+N;SG
unwelded	unwelded+ADJ
polonaise	polonaise+V;NFIN;IMP+SBJV
expatriates	expatriate+V;PRS;3;SG
aristolochic	aristolochic+ADJ
slidometers	slidometer+N;PL
pandation	pandation+N;SG
ununctuous	ununctuous+ADJ
erethic	erethic+ADJ
hearthstones	hearthstone+V;PRS;3;SG
neophiliac	neophiliac+N;SG
dyskaryosis	dyskaryosis+N;SG
oricalche	oricalche+N;SG
revokes	revoke+N;PL
suppos'd	suppos'd+ADJ
bayfront	bayfront+N;SG
sultrier	sultry+ADJ;CMPR
grueling	grueling+ADJ
planktotrophic	planktotrophic+ADJ
penn'orth	penn'orth+N;SG
aerodynes	aerodyne+N;PL
gammaproteobacterium	gammaproteobacterium+N;SG
speechify	speechify+V;NFIN;IMP+SBJV
allelomorphism	allelomorphism+N;SG
incarnadine	incarnadine+N;SG
zomma	zomma+N;SG
glucosaccharides	glucosaccharide+N;PL
circularised	circularise+V;V.PTCP;PST
impatiency	impatiency+N;SG
obolized	obolize+V;PST
petrographs	petrograph+N;PL
antiterritorial	antiterritorial+ADJ
whorling	whorl+V;V.PTCP;PRS
hiatoplasties	hiatoplasty+N;PL
petrean	petrean+ADJ
femaleists	femaleist+N;PL
erythromyelocyte	erythromyelocyte+N;SG
reversers	reverser+N;PL
perfectionating	perfectionate+V;V.PTCP;PRS
tarnation	tarnation+ADJ
aduantaged	aduantage+V;PST
postextraction	postextraction+ADJ
revered	revere+V;PST
plasmodiids	plasmodiid+N;PL
text	text+V;NFIN;IMP+SBJV
apodal	apodal+N;SG
fibrillinopathy	fibrillinopathy+N;SG
dog rough	dog rough+ADJ
douzeper	douzeper+N;SG
shumarditid	shumarditid+N;SG
ethnocentrizes	ethnocentrize+V;PRS;3;SG
tantalates	tantalate+N;PL
gorg	gorg+ADJ
spearlets	spearlet+N;PL
degrate	degrate+V;NFIN;IMP+SBJV
igneousness	igneousness+N;SG
periblem	periblem+N;SG
electrolysis	electrolysis+N;SG
chloroformyl	chloroformyl+N;SG
antilattices	antilattice+N;PL
bury	bury+N;SG
kanons	kanon+N;PL
a**	a**+N;SG
æstivated	æstivate+V;PST
trijets	trijet+N;PL
beergaritas	beergarita+N;PL
weekslong	weekslong+ADJ
menorcan	menorcan+ADJ
myelolipoma	myelolipoma+N;SG
rhusflavanone	rhusflavanone+N;SG
prestart	prestart+ADJ
sardana	sardana+N;SG
disprofessed	disprofess+V;V.PTCP;PST
selenoxide	selenoxide+N;SG
coc	coc+N;SG
kibbutznik	kibbutznik+N;SG
oxidonitrosative	oxidonitrosative+ADJ
postalar	postalar+ADJ
basiscopic	basiscopic+ADJ
horary	horary+N;SG
headpad	headpad+N;SG
hymenaean	hymenaean+N;SG
bawd	bawd+N;SG
fainéants	fainéant+N;PL
dg	dg+N;SG
extrajudicial	extrajudicial+ADJ
insectator	insectator+N;SG
inaffected	inaffected+ADJ
tormenting	tormenting+N;SG
sakieh	sakieh+N;SG
successors	successor+N;PL
unfriends	unfriend+V;PRS;3;SG
diplobrat	diplobrat+N;SG
peroxyvanadate	peroxyvanadate+N;SG
benthics	benthic+N;PL
phalloidine	phalloidine+N;SG
shopworkers	shopworker+N;PL
coalescing	coalesce+V;V.PTCP;PRS
palinspastic	palinspastic+ADJ
confarreation	confarreation+N;SG
temses	temse+N;PL
bell-faced	bell-faced+ADJ
levimasole	levimasole+N;SG
disastrousness	disastrousness+N;SG
osteochondral	osteochondral+ADJ
meropid	meropid+N;SG
parapierrotite	parapierrotite+N;SG
proxazole	proxazole+N;SG
defuzes	defuze+V;PRS;3;SG
snp	snp+N;SG
tumulary	tumulary+ADJ
marking-nut	marking-nut+N;SG
pliosaurian	pliosaurian+ADJ
freechapel	freechapel+N;SG
colachons	colachon+N;PL
optomagnonics	optomagnonics+N;SG
codevector	codevector+N;SG
legitimised	legitimise+V;PST
profesh	profesh+N;SG
plaga	plaga+N;SG
admittaturs	admittatur+N;PL
scriptwriters	scriptwriter+N;PL
convict	convict+V;NFIN;IMP+SBJV
repossessors	repossessor+N;PL
undeclared	undeclare+V;PST
retinectomy	retinectomy+N;SG
eimeriid	eimeriid+N;SG
trilobitomorph	trilobitomorph+N;SG
depositure	depositure+N;SG
starport	starport+N;SG
vogle	vogle+N;SG
sarcodine	sarcodine+N;SG
chariotlike	chariotlike+ADJ
dicarbamates	dicarbamate+N;PL
diatexitic	diatexitic+ADJ
unfoxlike	unfoxlike+ADJ
hyaluronoglucuronidase	hyaluronoglucuronidase+N;SG
idolopoeia	idolopoeia+N;SG
fieldfare	fieldfare+N;SG
metapleural	metapleural+ADJ
shelterins	shelterin+N;PL
nanovesicle	nanovesicle+N;SG
mises	mise+N;PL
demonette	demonette+N;SG
reshoring	reshoring+N;SG
megaduodenum	megaduodenum+N;SG
tzigane	tzigane+N;SG
dechorionating	dechorionate+V;V.PTCP;PRS
hydroperoxyl	hydroperoxyl+N;SG
flexwing	flexwing+N;SG
hydrophyllium	hydrophyllium+N;SG
brustled	brustle+V;V.PTCP;PST
justifiers	justifier+N;PL
enumerability	enumerability+N;SG
destreamline	destreamline+V;NFIN;IMP+SBJV
reascertain	reascertain+V;NFIN;IMP+SBJV
morbidity	morbidity+N;SG
back	back+N;SG
armorless	armorless+ADJ
tarps	tarp+V;PRS;3;SG
brushfires	brushfire+N;PL
atlantosaurid	atlantosaurid+N;SG
smartass	smartass+N;SG
larviciding	larviciding+N;SG
abares	abare+V;PRS;3;SG
monodigital	monodigital+ADJ
odize	odize+V;NFIN;IMP+SBJV
reducement	reducement+N;SG
cuuute	cuuute+ADJ
uncapitalizes	uncapitalize+V;PRS;3;SG
pendicler	pendicler+N;SG
unfeaty	unfeaty+ADJ
ruelle	ruelle+N;SG
dgmp	dgmp+N;SG
kandiperox	kandiperox+N;SG
antidisestablishmentarian	antidisestablishmentarian+ADJ
racketeer	racketeer+V;NFIN;IMP+SBJV
exploiture	exploiture+N;SG
desemanticisation	desemanticisation+N;SG
beanstalks	beanstalk+N;PL
octacosenoate	octacosenoate+N;SG
abraids	abraid+V;PRS;3;SG
neighbores	neighbore+N;PL
trimeters	trimeter+N;PL
chaoticist	chaoticist+N;SG
kiki	kiki+V;NFIN;IMP+SBJV
oncoviral	oncoviral+ADJ
crombec	crombec+N;SG
abmhos	abmho+N;PL
burnoffs	burnoff+N;PL
extra-ocular	extra-ocular+ADJ
chemokinetic	chemokinetic+ADJ
pittances	pittance+N;PL
dalbergioids	dalbergioid+N;PL
unreserving	unreserve+V;V.PTCP;PRS
loosener	loosener+N;SG
unhung	unhung+ADJ
uterofetal	uterofetal+ADJ
lutrine	lutrine+ADJ
characiform	characiform+N;SG
bookkept	bookkeep+V;V.PTCP;PST
sokos	soko+N;PL
thyrotoxins	thyrotoxin+N;PL
midlife	midlife+ADJ
antideath	antideath+ADJ
repersonalized	repersonalize+V;PST
caesalpin	caesalpin+N;SG
snowmachines	snowmachine+N;PL
matricial	matricial+ADJ
hatchels	hatchel+V;PRS;3;SG
hirdman	hirdman+N;SG
jiglike	jiglike+ADJ
stepstones	stepstone+N;PL
osteoplasties	osteoplasty+N;PL
rechimed	rechime+V;PST
commuter	commuter+N;SG
paymasters	paymaster+N;PL
ablutophobic	ablutophobic+ADJ
inhibin	inhibin+N;SG
centrifugates	centrifugate+N;PL
pulvinone	pulvinone+N;SG
tarabish	tarabish+N;SG
tradewind	tradewind+N;SG
backmost	backmost+ADJ
antisecession	antisecession+ADJ
shoring	shoring+N;SG
omnidimensional	omnidimensional+ADJ
bruds	brud+N;PL
atheroembolus	atheroembolus+N;SG
cartooney	cartooney+ADJ
glomus	glomus+N;SG
finmark	finmark+N;SG
pinda	pinda+N;SG
coenotype	coenotype+N;SG
chaya	chaya+N;SG
gearwork	gearwork+N;SG
desacralize	desacralize+V;NFIN;IMP+SBJV
klavaliers	klavalier+N;PL
comptrolls	comptroll+N;PL
outfigure	outfigure+V;NFIN;IMP+SBJV
skare	skare+ADJ
smouses	smouse+N;PL
reotropes	reotrope+N;PL
scedule	scedule+N;SG
befinned	befinned+ADJ
catapetalous	catapetalous+ADJ
fortunised	fortunise+V;V.PTCP;PST
possession	possession+N;SG
interwinds	interwind+N;PL
cibarial	cibarial+ADJ
thwacking	thwack+V;V.PTCP;PRS
degreased	degrease+V;V.PTCP;PST
piffling	piffle+V;V.PTCP;PRS
unfoldase	unfoldase+N;SG
righted	right+V;V.PTCP;PST
zonalizations	zonalization+N;PL
formalized	formalize+V;V.PTCP;PST
parasitising	parasitise+V;V.PTCP;PRS
arrestive	arrestive+ADJ
busting	busting+ADJ
rereads	reread+N;PL
multigeniture	multigeniture+N;SG
perfect	perfect+ADJ
subcompartmentalises	subcompartmentalise+V;PRS;3;SG
mischaracterising	mischaracterise+V;V.PTCP;PRS
mipomersen	mipomersen+N;SG
pallidest	pallid+ADJ;SPRL
deenergise	deenergise+V;NFIN;IMP+SBJV
taekwondokas	taekwondoka+N;PL
mavrud	mavrud+N;SG
oopoochawa	oopoochawa+N;SG
adenodynia	adenodynia+N;SG
tetramerize	tetramerize+V;NFIN;IMP+SBJV
stylizations	stylization+N;PL
desilences	desilence+V;PRS;3;SG
acquire	acquire+V;NFIN;IMP+SBJV
paragraphing	paragraph+V;V.PTCP;PRS
crout	crout+N;SG
harddrives	harddrive+N;PL
theatromania	theatromania+N;SG
warrandices	warrandice+N;PL
vixen	vixen+N;SG
misogamous	misogamous+ADJ
super-affluence	super-affluence+N;SG
daphnetin	daphnetin+N;SG
videofluoroscopes	videofluoroscope+N;PL
conservatories	conservatory+N;PL
icterohemorrhagic	icterohemorrhagic+ADJ
glugged	glug+V;V.PTCP;PST
britzka	britzka+N;SG
antimonial	antimonial+ADJ
misknowledge	misknowledge+N;SG
domesticks	domestick+N;PL
capotted	capot+V;PST
hydroautogamy	hydroautogamy+N;SG
postcardish	postcardish+ADJ
commutators	commutator+N;PL
toxodontids	toxodontid+N;PL
cracovienne	cracovienne+N;SG
surbase	surbase+V;NFIN;IMP+SBJV
delthyrium	delthyrium+N;SG
osteointegrating	osteointegrate+V;V.PTCP;PRS
amelled	amel+V;V.PTCP;PST
absolution	absolution+N;SG
hydromancy	hydromancy+N;SG
retinotomy	retinotomy+N;SG
thimblerigged	thimblerig+V;PST
aseismic	aseismic+ADJ
haplodeficiency	haplodeficiency+N;SG
disnaturalize	disnaturalize+V;NFIN;IMP+SBJV
maulvi	maulvi+N;SG
cd-rom	cd-rom+N;SG
showperson	showperson+N;SG
segnitude	segnitude+N;SG
chastise	chastise+V;NFIN;IMP+SBJV
infantilism	infantilism+N;SG
proto-racist	proto-racist+ADJ
concaveness	concaveness+N;SG
gypsied	gypsy+V;PST
nonresearchers	nonresearcher+N;PL
paunchiest	paunchy+ADJ;SPRL
coregistration	coregistration+N;SG
bodenvag	bodenvag+N;SG
nongaussianity	nongaussianity+N;SG
nipfarthing	nipfarthing+N;SG
observees	observee+N;PL
shauchles	shauchle+V;PRS;3;SG
oarswoman	oarswoman+N;SG
retropulsive	retropulsive+ADJ
xylometry	xylometry+N;SG
unfrock	unfrock+V;NFIN;IMP+SBJV
diubiquitylated	diubiquitylated+ADJ
anoxemia	anoxemia+N;SG
discography	discography+N;SG
letterhack	letterhack+N;SG
tiropita	tiropita+N;SG
flavoenzymes	flavoenzyme+N;PL
glossophagine	glossophagine+ADJ
endophenotypes	endophenotype+N;PL
waterfalling	waterfall+V;V.PTCP;PRS
tedders	tedder+N;PL
fuses	fuse+N;PL
steerspersons	steersperson+N;PL
darwinical	darwinical+ADJ
backscatter	backscatter+N;SG
electropermeabilizing	electropermeabilize+V;V.PTCP;PRS
interploid	interploid+ADJ
homokaryon	homokaryon+N;SG
fardel	fardel+V;NFIN;IMP+SBJV
dystheist	dystheist+ADJ
schist	schist+N;SG
unbiodegradable	unbiodegradable+ADJ
cercomonad	cercomonad+N;SG
freebased	freebase+V;V.PTCP;PST
riverfronts	riverfront+N;PL
neophilic	neophilic+N;SG
gx	gx+N;SG
multisided	multisided+ADJ
speedshifts	speedshift+N;PL
pyroclimate	pyroclimate+N;SG
trichlorides	trichloride+N;PL
invariantism	invariantism+N;SG
masterstroke	masterstroke+N;SG
on-glide	on-glide+N;SG
archegoniophores	archegoniophore+N;PL
nanoswitch	nanoswitch+N;SG
neuroglycemia	neuroglycemia+N;SG
carillonists	carillonist+N;PL
groopers	grooper+N;PL
attorney-in-fact	attorney-in-fact+N;SG
astrocytes	astrocyte+N;PL
barrelling	barrelling+N;SG
iconise	iconise+V;NFIN;IMP+SBJV
premachine	premachine+V;NFIN;IMP+SBJV
unaudacious	unaudacious+ADJ
czaritzas	czaritza+N;PL
colombian	colombian+ADJ
waterdog	waterdog+N;SG
centrarchid	centrarchid+N;SG
syphiloma	syphiloma+N;SG
courtezan	courtezan+N;SG
panchayaths	panchayath+N;PL
reabusing	reabuse+V;V.PTCP;PRS
uncrated	uncrate+V;V.PTCP;PST
unpawed	unpawed+ADJ
salmoners	salmoner+N;PL
witfulness	witfulness+N;SG
kolhoz	kolhoz+N;SG
scrolling	scrolling+N;SG
pentanders	pentander+N;PL
thermochronology	thermochronology+N;SG
alkoxyaluminums	alkoxyaluminum+N;PL
geans	gean+N;PL
mangue	mangue+N;SG
irreconcilable	irreconcilable+ADJ
lophodonty	lophodonty+N;SG
saceur	saceur+N;SG
bday	bday+N;SG
antipestilential	antipestilential+N;SG
cytomembranes	cytomembrane+N;PL
telpher	telpher+V;NFIN;IMP+SBJV
peelies	peelie+N;PL
defibrillized	defibrillize+V;PST
suffusion	suffusion+N;SG
repiniques	repinique+N;PL
formeret	formeret+N;SG
antithyroglobulin	antithyroglobulin+N;SG
endodormancy	endodormancy+N;SG
floorpans	floorpan+N;PL
apply	apply+ADJ
adipocytokines	adipocytokine+N;PL
vos	vos+ADJ
biopathological	biopathological+ADJ
uninnervated	uninnervated+ADJ
macrodactylous	macrodactylous+ADJ
scaledown	scaledown+N;SG
dispatchful	dispatchful+ADJ
atr	atr+N;SG
interpretor	interpretor+N;SG
probleme	probleme+N;SG
glossinids	glossinid+N;PL
rhodaliids	rhodaliid+N;PL
rt	rt+V;NFIN;IMP+SBJV
associate	associate+ADJ
systemisers	systemiser+N;PL
conspirator	conspirator+N;SG
suppository	suppository+N;SG
fraudless	fraudless+ADJ
koreanize	koreanize+V;NFIN;IMP+SBJV
lanugo	lanugo+N;SG
procaviids	procaviid+N;PL
exampling	example+V;V.PTCP;PRS
demiquaver	demiquaver+N;SG
lanyaps	lanyap+N;PL
sinraptorids	sinraptorid+N;PL
owlfly	owlfly+N;SG
over-optimistic	over-optimistic+ADJ
randomized	randomize+V;PST
recompenses	recompense+V;PRS;3;SG
mollycoddled	mollycoddle+V;PST
superdirectory	superdirectory+N;SG
glycosynapses	glycosynapse+N;PL
phonies	phony+N;PL
hypermethylated	hypermethylate+V;V.PTCP;PST
preionizes	preionize+V;PRS;3;SG
evaniids	evaniid+N;PL
xiphisternum	xiphisternum+N;SG
honcho	honcho+N;SG
bookmarked	bookmark+V;V.PTCP;PST
proanthocyanins	proanthocyanin+N;PL
trichloroacetonitrile	trichloroacetonitrile+N;SG
khatri	khatri+N;SG
vavs	vav+N;PL
glycosinolates	glycosinolate+N;PL
papillomagenesis	papillomagenesis+N;SG
vacuolarisations	vacuolarisation+N;PL
fluence	fluence+N;SG
uptakers	uptaker+N;PL
ribofuranosyl	ribofuranosyl+N;SG
cocus	cocus+N;SG
stood	stand+V;PST
camorrism	camorrism+N;SG
wrapping	wrapping+N;SG
vad	vad+N;SG
noncaffeinated	noncaffeinated+ADJ
polysensitized	polysensitize+V;V.PTCP;PST
uninverted	uninverted+ADJ
microechinates	microechinate+N;PL
songes	songe+N;PL
misspelling	misspelling+N;SG
egocentricity	egocentricity+N;SG
bequested	bequest+V;PST
isodictyal	isodictyal+ADJ
fantasticating	fantasticate+V;V.PTCP;PRS
gallerying	gallery+V;V.PTCP;PRS
quiche	quiche+N;SG
forlivian	forlivian+ADJ
paralogical	paralogical+ADJ
handstraps	handstrap+N;PL
raybursts	rayburst+N;PL
videocolonoscope	videocolonoscope+N;SG
uncountable	dunder+N;PL
ethnicist	ethnicist+N;SG
zoöphytes	zoöphyte+N;PL
subform	subform+N;SG
defreeze	defreeze+V;NFIN;IMP+SBJV
tinkling	tinkling+ADJ
cephalodactyly	cephalodactyly+N;SG
calotypists	calotypist+N;PL
preassociated	preassociate+V;V.PTCP;PST
serotiters	serotiter+N;PL
friend	friend+V;NFIN;IMP+SBJV
recyclist	recyclist+N;SG
noodges	noodge+V;PRS;3;SG
microthermoforming	microthermoforming+N;SG
stepside	stepside+ADJ
squarials	squarial+N;PL
eurafrican	eurafrican+N;SG
enum	enum+N;SG
chirocracies	chirocracy+N;PL
choplets	choplet+N;PL
potentialized	potentialize+V;V.PTCP;PST
butoprozine	butoprozine+N;SG
equibalanced	equibalance+V;PST
dulcinea	dulcinea+N;SG
sabbatization	sabbatization+N;SG
homotropic	homotropic+ADJ
prebendated	prebendate+V;V.PTCP;PST
mushiness	mushiness+N;SG
stretched	stretch+V;V.PTCP;PST
mincing	mincing+N;SG
hypersensitized	hypersensitize+V;PST
nimnod	nimnod+N;SG
passionates	passionate+V;PRS;3;SG
deere	deere+N;SG
yuwaaliyaay	yuwaaliyaay+ADJ
geophys	geophys+N;SG
pelusian	pelusian+ADJ
instresses	instress+V;PRS;3;SG
commutant	commutant+N;SG
in-built	in-built+ADJ
metaplasms	metaplasm+N;PL
kazachok	kazachok+N;SG
hashflag	hashflag+N;SG
godding	god+V;V.PTCP;PRS
hematoimmune	hematoimmune+ADJ
brutified	brutify+V;V.PTCP;PST
magpie-goose	magpie-goose+N;SG
flaming mad	flaming mad+ADJ
antidegradability	antidegradability+N;SG
pandoras	pandora+N;PL
increased	increase+V;PST
impaled	impale+V;PST
mechanocardiography	mechanocardiography+N;SG
bœotarch	bœotarch+N;SG
hexadecahydroxy	hexadecahydroxy+N;SG
roofbeams	roofbeam+N;PL
mittfuls	mittful+N;PL
midmost	midmost+ADJ
pantisocratists	pantisocratist+N;PL
nonrenewable	nonrenewable+ADJ
trehazolin	trehazolin+N;SG
incavo	incavo+N;SG
deacidifying	deacidify+V;V.PTCP;PRS
pragmatical	pragmatical+ADJ
polyglots	polyglot+N;PL
unspeaks	unspeak+V;PRS;3;SG
drinkathon	drinkathon+N;SG
squizzed	squizz+V;PST
fanvids	fanvid+N;PL
simpleminded	simpleminded+ADJ
pightle	pightle+N;SG
inoculator	inoculator+N;SG
mune	mune+N;SG
countable	gaff+N;PL
lipogrammatism	lipogrammatism+N;SG
ridge-runner	ridge-runner+N;SG
highbacked	highbacked+ADJ
akhirah	akhirah+N;SG
receptosome	receptosome+N;SG
drop-crotch	drop-crotch+V;NFIN;IMP+SBJV
mitoprotective	mitoprotective+ADJ
fluoroacetylsalicylic	fluoroacetylsalicylic+ADJ
bedangled	bedangle+V;PST
retreat	retreat+V;NFIN;IMP+SBJV
paticans	patican+N;PL
mopboard	mopboard+N;SG
methylscopolamine	methylscopolamine+N;SG
cefathiamidine	cefathiamidine+N;SG
shriveller	shriveller+N;SG
indecomposables	indecomposable+N;PL
interthinks	interthink+V;PRS;3;SG
backroads	backroad+N;PL
torsatron	torsatron+N;SG
downleveled	downlevel+V;V.PTCP;PST
coldcock	coldcock+V;NFIN;IMP+SBJV
molly-house	molly-house+N;SG
improvers	improver+N;PL
polybrene	polybrene+N;SG
luncarts	luncart+N;PL
suther	suther+V;NFIN;IMP+SBJV
cudworthian	cudworthian+ADJ
aisy	aisy+ADJ
she	she+N;SG
repromoted	repromote+V;PST
escalated	escalate+V;V.PTCP;PST
semiflex	semiflex+V;NFIN;IMP+SBJV
multipinnate	multipinnate+ADJ
crepehangers	crepehanger+N;PL
reexoticizes	reexoticize+V;PRS;3;SG
vitiviruses	vitivirus+N;PL
haematoxyline	haematoxyline+N;SG
teneral	teneral+ADJ
noctambulists	noctambulist+N;PL
reenergized	reenergize+V;V.PTCP;PST
blooden	blooden+V;NFIN;IMP+SBJV
ureterosigmoidostomies	ureterosigmoidostomy+N;PL
goman	goman+N;SG
semordnilaps	semordnilap+N;PL
wistarias	wistaria+N;PL
